[10:57:23] [ServerMain/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[10:57:26] [ServerMain/WARN]: Ambiguity between arguments [teleport, location] and [teleport, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[10:57:26] [ServerMain/WARN]: Ambiguity between arguments [teleport, location] and [teleport, targets] with inputs: [0.1 -0.5 .9, 0 0 0]
[10:57:26] [ServerMain/WARN]: Ambiguity between arguments [teleport, destination] and [teleport, targets] with inputs: [Player, 0123, @e, dd12be42-52a9-4a91-a8a1-11c01849e498]
[10:57:26] [ServerMain/WARN]: Ambiguity between arguments [teleport, targets] and [teleport, destination] with inputs: [Player, 0123, dd12be42-52a9-4a91-a8a1-11c01849e498]
[10:57:26] [ServerMain/WARN]: Ambiguity between arguments [teleport, targets, location] and [teleport, targets, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[10:57:28] [Worker-Main-2/INFO]: Loaded 7 recipes
[10:57:28] [Worker-Main-2/INFO]: Loaded 1141 advancements
[10:57:31] [Server thread/INFO]: Starting minecraft server version 1.18.2
[10:57:31] [Server thread/INFO]: Loading properties
[10:57:31] [Server thread/INFO]: Default game type: SURVIVAL
[10:57:31] [Server thread/INFO]: Generating keypair
[10:57:31] [Server thread/INFO]: Starting Minecraft server on *:25565
[10:57:31] [Server thread/INFO]: Using epoll channel type
[10:57:32] [Server thread/INFO]: Preparing level "world"
[10:58:02] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[10:58:03] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[10:58:03] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[10:58:04] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[10:58:04] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[10:58:05] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[10:58:05] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[10:58:06] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[10:58:06] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[10:58:07] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[10:58:07] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[10:58:08] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[10:58:08] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[10:58:09] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[10:58:09] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[10:58:10] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[10:58:10] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[10:58:11] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[10:58:11] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[10:58:12] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[10:58:12] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[10:58:13] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[10:58:13] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[10:58:14] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[10:58:14] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[10:58:15] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[10:58:15] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[10:58:16] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[10:58:16] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[10:58:17] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[10:58:17] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[10:58:18] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[10:58:18] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[10:58:19] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[10:58:19] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[10:58:20] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[10:58:20] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[10:58:21] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[10:58:21] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[10:58:22] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[10:58:22] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[10:58:23] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[10:58:23] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[10:58:24] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[10:58:24] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[10:58:25] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[10:58:25] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[10:58:26] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[10:58:26] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[10:58:27] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[10:58:27] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[10:58:28] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[10:58:28] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[10:58:29] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[10:58:29] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[10:58:30] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[10:58:30] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[10:58:31] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[10:58:31] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[10:58:32] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[10:58:32] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[10:58:33] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[10:58:33] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[10:58:34] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[10:58:34] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[10:58:35] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[10:58:35] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[10:58:36] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[10:58:36] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[10:58:37] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[10:58:37] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[10:58:38] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[10:58:38] [Worker-Main-5/INFO]: Preparing spawn area: 5%
[10:58:39] [Worker-Main-5/INFO]: Preparing spawn area: 5%
[10:58:39] [Worker-Main-2/INFO]: Preparing spawn area: 11%
[10:58:40] [Worker-Main-2/INFO]: Preparing spawn area: 13%
[10:58:40] [Worker-Main-2/INFO]: Preparing spawn area: 13%
[10:58:41] [Worker-Main-5/INFO]: Preparing spawn area: 17%
[10:58:41] [Worker-Main-5/INFO]: Preparing spawn area: 19%
[10:58:42] [Worker-Main-5/INFO]: Preparing spawn area: 19%
[10:58:42] [Worker-Main-5/INFO]: Preparing spawn area: 19%
[10:58:43] [Worker-Main-2/INFO]: Preparing spawn area: 26%
[10:58:43] [Worker-Main-5/INFO]: Preparing spawn area: 27%
[10:58:44] [Worker-Main-2/INFO]: Preparing spawn area: 30%
[10:58:44] [Worker-Main-5/INFO]: Preparing spawn area: 32%
[10:58:45] [Worker-Main-5/INFO]: Preparing spawn area: 32%
[10:58:45] [Worker-Main-2/INFO]: Preparing spawn area: 35%
[10:58:46] [Worker-Main-2/INFO]: Preparing spawn area: 36%
[10:58:46] [Worker-Main-2/INFO]: Preparing spawn area: 39%
[10:58:47] [Worker-Main-2/INFO]: Preparing spawn area: 40%
[10:58:47] [Worker-Main-5/INFO]: Preparing spawn area: 42%
[10:58:48] [Worker-Main-5/INFO]: Preparing spawn area: 43%
[10:58:48] [Worker-Main-5/INFO]: Preparing spawn area: 44%
[10:58:49] [Worker-Main-5/INFO]: Preparing spawn area: 44%
[10:58:49] [Worker-Main-5/INFO]: Preparing spawn area: 44%
[10:58:50] [Worker-Main-5/INFO]: Preparing spawn area: 44%
[10:58:50] [Worker-Main-5/INFO]: Preparing spawn area: 44%
[10:58:51] [Worker-Main-5/INFO]: Preparing spawn area: 44%
[10:58:51] [Worker-Main-5/INFO]: Preparing spawn area: 44%
[10:58:52] [Worker-Main-5/INFO]: Preparing spawn area: 44%
[10:58:52] [Worker-Main-5/INFO]: Preparing spawn area: 44%
[10:58:53] [Worker-Main-5/INFO]: Preparing spawn area: 44%
[10:58:53] [Worker-Main-5/INFO]: Preparing spawn area: 44%
[10:58:54] [Worker-Main-5/INFO]: Preparing spawn area: 44%
[10:58:54] [Worker-Main-5/INFO]: Preparing spawn area: 44%
[10:58:55] [Worker-Main-5/INFO]: Preparing spawn area: 44%
[10:58:55] [Worker-Main-5/INFO]: Preparing spawn area: 44%
[10:58:56] [Worker-Main-5/INFO]: Preparing spawn area: 44%
[10:58:56] [Worker-Main-5/INFO]: Preparing spawn area: 44%
[10:58:57] [Worker-Main-5/INFO]: Preparing spawn area: 44%
[10:58:57] [Worker-Main-5/INFO]: Preparing spawn area: 44%
[10:58:58] [Worker-Main-5/INFO]: Preparing spawn area: 44%
[10:58:58] [Worker-Main-5/INFO]: Preparing spawn area: 44%
[10:58:59] [Worker-Main-5/INFO]: Preparing spawn area: 44%
[10:58:59] [Worker-Main-5/INFO]: Preparing spawn area: 44%
[10:59:00] [Worker-Main-5/INFO]: Preparing spawn area: 44%
[10:59:00] [Worker-Main-5/INFO]: Preparing spawn area: 44%
[10:59:01] [Worker-Main-5/INFO]: Preparing spawn area: 44%
[10:59:01] [Worker-Main-5/INFO]: Preparing spawn area: 44%
[10:59:02] [Worker-Main-5/INFO]: Preparing spawn area: 44%
[10:59:02] [Worker-Main-5/INFO]: Preparing spawn area: 44%
[10:59:03] [Worker-Main-5/INFO]: Preparing spawn area: 44%
[10:59:03] [Worker-Main-5/INFO]: Preparing spawn area: 44%
[10:59:04] [Worker-Main-5/INFO]: Preparing spawn area: 44%
[10:59:04] [Worker-Main-5/INFO]: Preparing spawn area: 44%
[10:59:05] [Worker-Main-5/INFO]: Preparing spawn area: 44%
[10:59:05] [Worker-Main-5/INFO]: Preparing spawn area: 44%
[10:59:06] [Worker-Main-5/INFO]: Preparing spawn area: 44%
[10:59:06] [Worker-Main-5/INFO]: Preparing spawn area: 44%
[10:59:07] [Worker-Main-5/INFO]: Preparing spawn area: 44%
[10:59:07] [Worker-Main-5/INFO]: Preparing spawn area: 44%
[10:59:08] [Worker-Main-5/INFO]: Preparing spawn area: 44%
[10:59:08] [Worker-Main-5/INFO]: Preparing spawn area: 44%
[10:59:09] [Worker-Main-5/INFO]: Preparing spawn area: 44%
[10:59:09] [Worker-Main-5/INFO]: Preparing spawn area: 44%
[10:59:10] [Worker-Main-5/INFO]: Preparing spawn area: 44%
[10:59:10] [Worker-Main-5/INFO]: Preparing spawn area: 44%
[10:59:11] [Worker-Main-5/INFO]: Preparing spawn area: 44%
[10:59:11] [Worker-Main-5/INFO]: Preparing spawn area: 44%
[10:59:12] [Worker-Main-5/INFO]: Preparing spawn area: 44%
[10:59:12] [Worker-Main-5/INFO]: Preparing spawn area: 44%
[10:59:13] [Worker-Main-5/INFO]: Preparing spawn area: 44%
[10:59:13] [Worker-Main-5/INFO]: Preparing spawn area: 44%
[10:59:14] [Worker-Main-5/INFO]: Preparing spawn area: 44%
[10:59:14] [Worker-Main-5/INFO]: Preparing spawn area: 44%
[10:59:15] [Worker-Main-5/INFO]: Preparing spawn area: 44%
[10:59:15] [Worker-Main-5/INFO]: Preparing spawn area: 44%
[10:59:16] [Worker-Main-5/INFO]: Preparing spawn area: 44%
[10:59:16] [Worker-Main-5/INFO]: Preparing spawn area: 44%
[10:59:17] [Worker-Main-5/INFO]: Preparing spawn area: 44%
[10:59:17] [Worker-Main-5/INFO]: Preparing spawn area: 44%
[10:59:18] [Worker-Main-5/INFO]: Preparing spawn area: 45%
[10:59:19] [Worker-Main-5/INFO]: Preparing spawn area: 46%
[10:59:19] [Worker-Main-5/INFO]: Preparing spawn area: 46%
[10:59:19] [Worker-Main-5/INFO]: Preparing spawn area: 55%
[10:59:20] [Worker-Main-5/INFO]: Preparing spawn area: 57%
[10:59:21] [Worker-Main-5/INFO]: Preparing spawn area: 60%
[10:59:21] [Worker-Main-5/INFO]: Preparing spawn area: 60%
[10:59:21] [Worker-Main-5/INFO]: Preparing spawn area: 69%
[10:59:22] [Worker-Main-5/INFO]: Preparing spawn area: 71%
[10:59:22] [Worker-Main-5/INFO]: Preparing spawn area: 72%
[10:59:24] [Worker-Main-5/INFO]: Preparing spawn area: 76%
[10:59:24] [Worker-Main-5/INFO]: Preparing spawn area: 76%
[10:59:24] [Worker-Main-5/INFO]: Preparing spawn area: 76%
[10:59:24] [Worker-Main-5/INFO]: Preparing spawn area: 83%
[10:59:26] [Worker-Main-5/INFO]: Preparing spawn area: 90%
[10:59:26] [Worker-Main-5/INFO]: Preparing spawn area: 90%
[10:59:26] [Worker-Main-5/INFO]: Preparing spawn area: 90%
[10:59:27] [Server thread/INFO]: Time elapsed: 94314 ms
[10:59:27] [Server thread/INFO]: Done (114.944s)! For help, type "help"
